Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,"Last Trade"
"4,205.00",+5.70%,309.60,312.05,314.50,511.90,0.00,unch,0,0,0.00,33.25%,Call,11/29/21
"4,210.00",+5.59%,300.40,305.60,310.80,588.47,0.00,unch,0,0,0.00,32.52%,Call,01/03/22
"4,215.00",+5.48%,300.20,305.35,310.50,0.00,0.00,unch,0,0,0.00,33.36%,Call,N/A
"4,220.00",+5.37%,290.20,295.75,301.30,578.97,0.00,unch,0,0,0.00,31.84%,Call,01/03/22
"4,225.00",+5.25%,289.50,296.35,303.20,510.00,0.00,unch,0,62,0.00,32.87%,Call,12/10/21
"4,230.00",+5.14%,287.60,292.60,297.60,509.56,0.00,unch,0,0,0.00,32.81%,Call,11/17/21
"4,235.00",+5.03%,280.40,285.30,290.20,466.40,0.00,unch,0,0,0.00,31.88%,Call,11/30/21
"4,240.00",+4.92%,217.90,277.90,337.90,0.00,0.00,unch,0,0,0.00,30.92%,Call,N/A
"4,245.00",+4.81%,263.00,265.50,268.00,0.00,0.00,unch,0,0,0.00,28.73%,Call,N/A
"4,250.00",+4.69%,266.70,274.50,282.30,273.01,0.00,unch,0,"1,587",0.00,31.78%,Call,01/20/22
"4,255.00",+4.58%,264.40,269.15,273.90,0.00,0.00,unch,0,0,0.00,31.32%,Call,N/A
"4,260.00",+4.47%,262.90,268.55,274.20,306.51,0.00,unch,0,0,0.00,31.98%,Call,10/18/21
"4,265.00",+4.36%,242.10,244.50,246.90,395.43,0.00,unch,0,0,0.00,27.04%,Call,01/14/22
"4,270.00",+4.24%,252.40,256.80,261.20,391.01,0.00,unch,0,0,0.00,30.80%,Call,01/14/22
"4,275.00",+4.13%,249.80,255.25,260.70,354.11,0.00,unch,0,355,0.00,31.22%,Call,01/10/22
"4,280.00",+4.02%,239.30,279.70,320.10,293.46,0.00,unch,0,0,0.00,37.50%,Call,10/18/21
"4,285.00",+3.91%,243.20,245.65,248.10,0.00,0.00,unch,0,0,0.00,30.53%,Call,N/A
"4,290.00",+3.80%,241.50,243.95,246.40,0.00,0.00,unch,0,0,0.00,30.89%,Call,N/A
"4,295.00",+3.68%,231.30,237.50,243.70,0.00,0.00,unch,0,0,0.00,30.17%,Call,N/A
"4,300.00",+3.57%,189.90,229.90,269.90,232.10,0.00,unch,0,"1,459",0.00,29.18%,Call,01/20/22
"4,305.00",+3.46%,227.90,230.20,232.50,457.95,0.00,unch,0,0,0.00,29.98%,Call,11/08/21
"4,310.00",+3.35%,211.00,213.40,215.80,308.98,0.00,unch,0,0,0.00,26.92%,Call,01/20/22
"4,315.00",+3.24%,207.80,210.15,212.50,0.00,0.00,unch,0,0,0.00,26.92%,Call,N/A
"4,320.00",+3.12%,213.70,219.80,225.90,272.75,0.00,unch,0,0,0.00,29.78%,Call,10/18/21
"4,325.00",+3.01%,211.00,213.25,215.50,342.37,0.00,unch,0,848,0.00,29.03%,Call,01/10/22
"4,330.00",+2.90%,205.50,210.25,215.00,180.30,0.00,unch,0,0,0.00,29.05%,Call,10/01/21
"4,335.00",+2.79%,202.20,206.05,209.90,0.00,0.00,unch,0,0,0.00,28.81%,Call,N/A
"4,340.00",+2.68%,200.70,203.10,205.50,369.69,0.00,unch,0,0,0.00,28.83%,Call,01/11/22
"4,345.00",+2.56%,193.30,198.15,203.00,463.92,0.00,unch,0,0,0.00,28.42%,Call,01/03/22
"4,350.00",+2.45%,192.10,194.30,196.50,185.73,-77.03,-29.32%,3,217,0.01,28.24%,Call,"10:59 ET"
"4,355.00",+2.34%,189.30,191.55,193.80,359.74,0.00,unch,0,0,0.00,28.29%,Call,01/11/22
"4,360.00",+2.23%,185.60,187.95,190.30,351.74,0.00,unch,0,0,0.00,28.16%,Call,01/11/22
"4,365.00",+2.11%,172.20,173.05,173.90,0.00,0.00,unch,0,0,0.00,25.61%,Call,N/A
"4,370.00",+2.00%,179.80,180.45,181.10,243.52,0.00,unch,0,0,0.00,27.81%,Call,01/19/22
"4,375.00",+1.89%,174.10,177.00,179.90,155.20,-280.30,-64.36%,88,235,0.37,27.69%,Call,"11:33 ET"
"4,380.00",+1.78%,172.80,173.55,174.30,267.70,0.00,unch,0,0,0.00,27.57%,Call,10/22/21
"4,385.00",+1.67%,171.20,171.85,172.50,0.00,0.00,unch,0,0,0.00,27.80%,Call,N/A
"4,390.00",+1.55%,163.80,166.00,168.20,197.59,0.00,unch,0,0,0.00,27.17%,Call,01/20/22
"4,395.00",+1.44%,162.00,162.60,163.20,0.00,0.00,unch,0,0,0.00,27.04%,Call,N/A
"4,400.00",+1.33%,157.10,159.15,161.20,154.61,-6.94,-4.30%,29,768,0.04,26.90%,Call,"11:59 ET"
"4,405.00",+1.22%,155.10,155.80,156.50,131.30,-84.10,-39.04%,35,0,0.00,26.77%,Call,"11:42 ET"
"4,410.00",+1.11%,150.80,152.50,154.20,165.90,0.00,unch,0,0,0.00,26.64%,Call,10/14/21
"4,415.00",+0.99%,147.50,149.25,151.00,0.00,0.00,unch,0,0,0.00,26.52%,Call,N/A
"4,420.00",+0.88%,144.90,145.75,146.60,296.39,0.00,unch,0,0,0.00,26.35%,Call,12/17/21
"4,425.00",+0.77%,140.80,142.45,144.10,135.66,-67.73,-33.30%,3,170,0.02,26.20%,Call,"10:59 ET"
"4,430.00",+0.66%,138.50,139.15,139.80,308.47,0.00,unch,0,0,0.00,26.06%,Call,01/11/22
"4,435.00",+0.54%,134.90,135.50,136.10,112.52,-88.85,-44.12%,8,0,0.00,25.83%,Call,"11:42 ET"
"4,440.00",+0.43%,132.20,132.80,133.40,121.25,-76.19,-38.59%,11,0,0.00,25.80%,Call,"12:06 ET"
"4,445.00",+0.32%,128.60,129.20,129.80,105.50,105.50,unch,11,0,0.00,25.57%,Call,"11:44 ET"
"4,450.00",+0.21%,123.50,125.10,126.70,114.90,-10.92,-8.68%,211,746,0.28,25.23%,Call,"12:03 ET"
"4,455.00",+0.10%,122.60,123.05,123.50,102.27,-80.67,-44.10%,27,0,0.00,25.31%,Call,"11:38 ET"
"4,460.00",-0.02%,119.10,119.65,120.20,108.00,-24.91,-18.74%,22,0,0.00,25.11%,Call,"11:55 ET"
"4,465.00",-0.13%,116.10,116.60,117.10,109.50,-72.45,-39.82%,16,0,0.00,24.97%,Call,"12:00 ET"
"4,470.00",-0.24%,112.50,113.00,113.50,111.10,-39.75,-26.35%,6,0,0.00,24.71%,Call,"11:03 ET"
"4,475.00",-0.35%,109.50,110.15,110.80,94.10,-14.40,-13.27%,200,236,0.85,24.60%,Call,"11:30 ET"
"4,480.00",-0.46%,106.90,107.45,108.00,87.05,-76.56,-46.79%,1,0,0.00,24.51%,Call,"11:42 ET"
"4,485.00",-0.58%,103.90,104.45,105.00,85.30,-160.56,-65.31%,13,0,0.00,24.35%,Call,"11:38 ET"
"4,490.00",-0.69%,101.10,101.60,102.10,77.90,-24.90,-24.22%,1,0,0.00,24.22%,Call,"11:47 ET"
"4,495.00",-0.80%,98.10,98.55,99.00,79.50,-245.65,-75.55%,36,0,0.00,24.04%,Call,"11:43 ET"
"4,500.00",-0.91%,95.20,95.75,96.30,88.40,-7.22,-7.55%,"2,541","4,415",0.58,23.90%,Call,"12:06 ET"
"4,505.00",-1.03%,92.40,92.85,93.30,183.26,0.00,unch,0,0,0.00,23.74%,Call,01/14/22
"4,510.00",-1.14%,89.90,90.30,90.70,152.95,0.00,unch,0,0,0.00,23.64%,Call,01/20/22
"4,515.00",-1.25%,87.00,87.45,87.90,81.00,-7.85,-8.84%,71,0,0.00,23.47%,Call,"06:37 ET"
"4,520.00",-1.36%,83.60,84.20,84.80,69.36,-30.64,-30.64%,5,0,0.00,23.21%,Call,"11:31 ET"
"4,525.00",-1.47%,81.20,81.70,82.20,105.85,0.00,unch,0,125,0.00,23.09%,Call,01/20/22
"4,530.00",-1.59%,78.80,79.25,79.70,64.20,-37.80,-37.06%,2,0,0.00,22.98%,Call,"11:52 ET"
"4,535.00",-1.70%,76.40,76.80,77.20,61.95,-36.33,-36.97%,1,0,0.00,22.86%,Call,"11:52 ET"
"4,540.00",-1.81%,67.40,67.70,68.00,56.47,-39.33,-41.05%,2,0,0.00,21.33%,Call,"11:44 ET"
"4,545.00",-1.92%,71.20,71.60,72.00,54.84,-27.87,-33.70%,17,0,0.00,22.54%,Call,"11:39 ET"
"4,550.00",-2.03%,68.80,69.25,69.70,68.80,-1.10,-1.57%,342,5,68.40,22.32%,Call,"12:11 ET"
"4,555.00",-2.15%,66.30,66.75,67.20,63.30,0.00,unch,0,0,0.00,22.25%,Call,01/20/22
"4,560.00",-2.26%,64.20,64.60,65.00,49.40,-35.52,-41.83%,16,0,0.00,22.15%,Call,"11:43 ET"
"4,565.00",-2.37%,62.00,62.45,62.90,90.70,0.00,unch,0,0,0.00,22.05%,Call,01/20/22
"4,570.00",-2.48%,60.70,61.15,61.60,52.80,-6.09,-10.34%,46,0,0.00,22.12%,Call,"12:06 ET"
"4,575.00",-2.59%,57.40,57.80,58.20,46.59,-29.21,-38.54%,308,120,2.57,21.73%,Call,"11:51 ET"
"4,580.00",-2.71%,56.00,56.50,57.00,54.50,-1.30,-2.33%,18,0,0.00,21.79%,Call,"04:51 ET"
"4,585.00",-2.82%,52.50,52.90,53.30,48.47,-27.53,-36.22%,1,0,0.00,21.32%,Call,"11:56 ET"
"4,590.00",-2.93%,50.80,51.20,51.60,46.53,-45.87,-49.64%,2,0,0.00,21.27%,Call,"11:09 ET"
"4,595.00",-3.04%,48.50,48.95,49.40,38.90,-26.50,-40.52%,99,0,0.00,21.08%,Call,"11:34 ET"
"4,600.00",-3.16%,46.30,46.80,47.30,42.70,-2.60,-5.74%,"2,746",855,3.21,20.91%,Call,"12:09 ET"
"4,605.00",-3.27%,44.50,44.90,45.30,42.11,-26.91,-38.99%,6,0,0.00,20.78%,Call,"12:08 ET"
"4,610.00",-3.38%,43.00,43.40,43.80,40.23,-35.00,-46.52%,5,0,0.00,20.74%,Call,"12:08 ET"
"4,615.00",-3.49%,40.70,41.05,41.40,28.95,-41.30,-58.79%,1,0,0.00,20.49%,Call,"11:44 ET"
"4,620.00",-3.60%,38.70,39.05,39.40,38.60,0.00,unch,0,0,0.00,20.30%,Call,01/20/22
"4,625.00",-3.72%,36.90,37.35,37.80,31.20,-10.69,-25.52%,119,84,1.42,20.18%,Call,"11:54 ET"
"4,630.00",-3.83%,36.40,36.70,37.00,32.57,-2.43,-6.94%,26,0,0.00,20.31%,Call,"11:59 ET"
"4,635.00",-3.94%,33.70,34.00,34.30,23.17,-19.73,-45.99%,1,0,0.00,19.92%,Call,"11:40 ET"
"4,640.00",-4.05%,32.30,32.60,32.90,28.50,-2.99,-9.50%,4,0,0.00,19.84%,Call,"12:06 ET"
"4,645.00",-4.16%,30.60,30.85,31.10,21.33,-44.47,-67.58%,1,0,0.00,19.66%,Call,"11:43 ET"
"4,650.00",-4.28%,28.70,29.10,29.50,30.10,2.10,+7.50%,"3,298",165,19.99,19.46%,Call,"12:10 ET"
"4,655.00",-4.39%,24.00,24.20,24.40,19.71,-8.19,-29.35%,2,0,0.00,18.34%,Call,"11:31 ET"
"4,660.00",-4.50%,26.10,26.40,26.70,16.40,-9.00,-35.43%,10,0,0.00,19.25%,Call,"11:46 ET"
"4,665.00",-4.61%,24.70,24.95,25.20,16.52,-30.12,-64.58%,13,0,0.00,19.10%,Call,"11:42 ET"
"4,670.00",-4.73%,20.30,20.50,20.70,21.92,-1.14,-4.94%,8,0,0.00,18.01%,Call,"11:59 ET"
"4,675.00",-4.84%,21.90,22.25,22.60,18.80,-2.20,-10.48%,"1,254",35,35.83,18.81%,Call,"12:02 ET"
"4,680.00",-4.95%,20.90,21.15,21.40,15.15,-4.25,-21.91%,2,0,0.00,18.72%,Call,"11:50 ET"
"4,685.00",-5.06%,17.10,17.30,17.50,12.77,-5.73,-30.97%,27,0,0.00,17.71%,Call,"11:42 ET"
"4,690.00",-5.17%,18.60,18.95,19.30,12.35,-4.45,-26.49%,6,0,0.00,18.51%,Call,"11:43 ET"
"4,695.00",-5.29%,17.70,17.95,18.20,17.57,0.95,+5.72%,20,0,0.00,18.42%,Call,"12:09 ET"
"4,700.00",-5.40%,17.00,17.25,17.50,16.50,0.50,+3.13%,"2,605",167,15.60,18.42%,Call,"12:12 ET"
"4,205.00",-5.70%,44.00,44.35,44.70,44.80,24.22,+117.69%,1,0,0.00,27.81%,Put,"09:49 ET"
"4,210.00",-5.59%,45.00,45.30,45.60,39.20,-2.80,-6.67%,4,0,0.00,27.73%,Put,"11:34 ET"
"4,215.00",-5.48%,45.70,46.15,46.60,45.45,13.53,+42.39%,5,0,0.00,27.63%,Put,"10:36 ET"
"4,220.00",-5.37%,46.50,46.80,47.10,48.45,5.68,+13.28%,162,0,0.00,27.47%,Put,"11:54 ET"
"4,225.00",-5.25%,47.50,47.85,48.20,46.67,8.67,+22.82%,13,115,0.11,27.41%,Put,"09:37 ET"
"4,230.00",-5.14%,48.40,48.80,49.20,50.25,28.90,+135.36%,76,0,0.00,27.31%,Put,"11:54 ET"
"4,235.00",-5.03%,49.00,49.40,49.80,48.85,26.40,+117.59%,5,0,0.00,27.13%,Put,"10:36 ET"
"4,240.00",-4.92%,50.20,50.50,50.80,48.60,1.20,+2.53%,7,0,0.00,27.07%,Put,"11:02 ET"
"4,245.00",-4.81%,51.20,51.55,51.90,53.80,16.43,+43.97%,55,0,0.00,26.99%,Put,"09:51 ET"
"4,250.00",-4.69%,52.10,52.45,52.80,50.50,1.60,+3.27%,265,"1,070",0.25,26.86%,Put,"11:39 ET"
"4,255.00",-4.58%,52.90,53.30,53.70,48.70,0.95,+1.99%,196,0,0.00,26.72%,Put,"10:57 ET"
"4,260.00",-4.47%,54.00,54.45,54.90,56.86,8.16,+16.76%,6,0,0.00,26.66%,Put,"12:12 ET"
"4,265.00",-4.36%,55.10,55.45,55.80,64.50,37.70,+140.67%,24,0,0.00,26.54%,Put,"10:14 ET"
"4,270.00",-4.24%,56.30,56.70,57.10,65.70,21.42,+48.37%,124,0,0.00,26.49%,Put,"10:24 ET"
"4,275.00",-4.13%,57.20,57.50,57.80,56.10,5.12,+10.04%,54,"1,056",0.05,26.32%,Put,"11:59 ET"
"4,280.00",-4.02%,58.20,58.60,59.00,55.92,2.95,+5.57%,27,0,0.00,26.22%,Put,"11:39 ET"
"4,285.00",-3.91%,59.20,59.55,59.90,40.69,0.00,unch,0,0,0.00,26.08%,Put,01/19/22
"4,290.00",-3.80%,60.50,60.80,61.10,60.34,4.49,+8.04%,25,0,0.00,26.00%,Put,"10:35 ET"
"4,295.00",-3.68%,61.50,61.95,62.40,66.80,20.14,+43.16%,1,0,0.00,25.90%,Put,"01:10 ET"
"4,300.00",-3.57%,63.10,63.50,63.90,61.90,3.80,+6.54%,"1,073",500,2.15,25.88%,Put,"11:59 ET"
"4,305.00",-3.46%,64.10,64.50,64.90,59.80,8.95,+17.60%,427,0,0.00,25.73%,Put,"10:54 ET"
"4,310.00",-3.35%,65.20,65.70,66.20,79.59,21.49,+36.99%,75,0,0.00,25.62%,Put,"10:22 ET"
"4,315.00",-3.24%,66.30,66.65,67.00,65.43,6.13,+10.34%,26,0,0.00,25.45%,Put,"10:38 ET"
"4,320.00",-3.12%,67.70,68.05,68.40,82.73,22.35,+37.02%,3,0,0.00,25.38%,Put,"10:23 ET"
"4,325.00",-3.01%,68.90,69.25,69.60,65.02,2.54,+4.07%,122,201,0.61,25.26%,Put,"11:01 ET"
"4,330.00",-2.90%,70.10,70.60,71.10,85.73,22.63,+35.86%,123,0,0.00,25.16%,Put,"10:23 ET"
"4,335.00",-2.79%,71.80,72.20,72.60,42.68,0.00,unch,0,0,0.00,25.11%,Put,01/20/22
"4,340.00",-2.68%,73.10,73.45,73.80,71.30,5.80,+8.85%,16,0,0.00,24.99%,Put,"11:41 ET"
"4,345.00",-2.56%,74.50,74.90,75.30,51.57,0.00,unch,0,0,0.00,24.90%,Put,01/19/22
"4,350.00",-2.45%,75.50,76.05,76.60,63.50,-5.35,-7.77%,282,165,1.71,24.73%,Put,"11:24 ET"
"4,355.00",-2.34%,77.30,77.75,78.20,88.56,41.23,+87.11%,51,0,0.00,24.69%,Put,"10:13 ET"
"4,360.00",-2.23%,78.70,79.05,79.40,75.65,7.70,+11.33%,45,0,0.00,24.55%,Put,"11:43 ET"
"4,365.00",-2.11%,80.20,80.65,81.10,85.45,46.64,+120.18%,45,0,0.00,24.47%,Put,"09:58 ET"
"4,370.00",-2.00%,81.30,81.70,82.10,78.45,14.73,+23.12%,55,0,0.00,24.26%,Put,"11:43 ET"
"4,375.00",-1.89%,80.50,83.55,86.60,87.08,11.70,+15.52%,24,223,0.11,24.22%,Put,"10:06 ET"
"4,380.00",-1.78%,84.40,84.75,85.10,92.65,26.25,+39.53%,52,0,0.00,24.04%,Put,"00:31 ET"
"4,385.00",-1.67%,86.30,86.65,87.00,46.00,0.00,unch,0,0,0.00,24.00%,Put,01/20/22
"4,390.00",-1.55%,87.60,88.05,88.50,76.82,-4.08,-5.04%,104,0,0.00,23.84%,Put,"11:26 ET"
"4,395.00",-1.44%,89.60,90.05,90.50,85.31,4.04,+4.97%,131,0,0.00,23.81%,Put,"10:37 ET"
"4,400.00",-1.33%,91.20,91.70,92.20,93.50,8.50,+10.00%,"2,277",50,45.54,23.70%,Put,"12:12 ET"
"4,405.00",-1.22%,92.90,93.50,94.10,100.51,44.53,+79.55%,3,0,0.00,23.61%,Put,"10:27 ET"
"4,410.00",-1.11%,94.20,94.80,95.40,94.48,9.14,+10.71%,123,0,0.00,23.35%,Put,"11:52 ET"
"4,415.00",-0.99%,96.40,96.90,97.40,103.86,45.53,+78.06%,4,0,0.00,23.37%,Put,"10:27 ET"
"4,420.00",-0.88%,97.70,98.30,98.90,97.39,6.98,+7.72%,33,0,0.00,23.18%,Put,"12:03 ET"
"4,425.00",-0.77%,99.90,100.35,100.80,100.80,19.06,+23.32%,84,69,1.22,23.21%,Put,"11:56 ET"
"4,430.00",-0.66%,101.40,101.80,102.20,100.50,6.80,+7.26%,14,0,0.00,22.93%,Put,"11:51 ET"
"4,435.00",-0.54%,103.20,103.80,104.40,102.30,6.90,+7.23%,39,0,0.00,22.84%,Put,"11:51 ET"
"4,440.00",-0.43%,105.10,105.70,106.30,101.70,7.88,+8.40%,198,0,0.00,22.73%,Put,"11:44 ET"
"4,445.00",-0.32%,107.60,108.10,108.60,93.00,13.29,+16.67%,44,0,0.00,22.71%,Put,"11:30 ET"
"4,450.00",-0.21%,109.30,109.75,110.20,109.69,9.23,+9.19%,"1,005",66,15.23,22.52%,Put,"12:12 ET"
"4,455.00",-0.10%,110.90,111.50,112.10,100.20,0.99,+1.00%,31,0,0.00,22.36%,Put,"11:09 ET"
"4,460.00",+0.02%,113.50,113.95,114.40,108.50,6.10,+5.96%,34,0,0.00,22.33%,Put,"11:40 ET"
"4,465.00",+0.13%,115.60,116.10,116.60,123.90,17.30,+16.23%,1,0,0.00,22.23%,Put,"10:09 ET"
"4,470.00",+0.24%,117.80,118.30,118.80,119.44,11.43,+10.58%,85,0,0.00,22.14%,Put,"10:46 ET"
"4,475.00",+0.35%,119.80,120.30,120.80,119.80,10.45,+9.56%,922,346,2.66,21.89%,Put,"11:57 ET"
"4,480.00",+0.46%,121.50,122.20,122.90,104.07,-8.43,-7.49%,112,0,0.00,21.82%,Put,"11:23 ET"
"4,485.00",+0.58%,124.30,124.85,125.40,113.04,-1.56,-1.36%,73,0,0.00,21.79%,Put,"11:31 ET"
"4,490.00",+0.69%,126.50,126.95,127.40,120.80,4.65,+4.00%,90,0,0.00,21.64%,Put,"11:40 ET"
"4,495.00",+0.80%,128.50,129.05,129.60,132.60,28.10,+26.89%,13,0,0.00,21.49%,Put,"10:00 ET"
"4,500.00",+0.91%,131.30,131.85,132.40,134.13,13.13,+10.85%,"1,705",132,12.92,21.47%,Put,"12:12 ET"
"4,505.00",+1.03%,133.40,134.10,134.80,120.18,12.38,+11.48%,1,0,0.00,21.33%,Put,"11:07 ET"
"4,510.00",+1.14%,135.40,136.00,136.60,134.18,8.79,+7.01%,20,0,0.00,21.11%,Put,"12:01 ET"
"4,515.00",+1.25%,138.00,138.55,139.10,119.61,30.91,+34.85%,6,0,0.00,21.01%,Put,"11:29 ET"
"4,520.00",+1.36%,140.90,141.50,142.10,139.08,29.91,+27.40%,21,0,0.00,20.99%,Put,"12:01 ET"
"4,525.00",+1.47%,143.40,143.95,144.50,150.04,17.04,+12.81%,24,33,0.73,20.85%,Put,"10:08 ET"
"4,530.00",+1.59%,146.00,146.55,147.10,125.17,-6.83,-5.17%,31,0,0.00,20.74%,Put,"11:23 ET"
"4,535.00",+1.70%,148.20,148.70,149.20,143.18,36.70,+34.47%,8,0,0.00,20.53%,Put,"10:36 ET"
"4,540.00",+1.81%,151.10,151.80,152.50,152.16,14.10,+10.21%,17,0,0.00,20.58%,Put,"10:48 ET"
"4,545.00",+1.92%,153.50,154.05,154.60,148.23,6.73,+4.76%,5,0,0.00,20.29%,Put,"10:36 ET"
"4,550.00",+2.03%,156.80,157.45,158.10,160.26,16.33,+11.35%,572,29,19.72,20.31%,Put,"12:12 ET"
"4,555.00",+2.15%,157.20,159.40,161.60,136.95,-2.73,-1.95%,2,0,0.00,20.01%,Put,"11:23 ET"
"4,560.00",+2.26%,159.00,162.90,166.80,146.79,0.38,+0.26%,70,0,0.00,20.04%,Put,"11:36 ET"
"4,565.00",+2.37%,163.20,165.30,167.40,178.50,50.70,+39.67%,3,0,0.00,19.82%,Put,"10:17 ET"
"4,570.00",+2.48%,166.30,168.30,170.30,160.59,14.97,+10.28%,174,0,0.00,19.72%,Put,"11:40 ET"
"4,575.00",+2.59%,169.00,171.25,173.50,155.40,-1.63,-1.04%,111,65,1.71,19.60%,Put,"11:07 ET"
"4,580.00",+2.71%,170.90,174.70,178.50,175.04,14.56,+9.07%,146,0,0.00,19.66%,Put,"11:58 ET"
"4,585.00",+2.82%,175.00,177.25,179.50,153.99,14.26,+10.21%,2,0,0.00,19.35%,Put,"11:25 ET"
"4,590.00",+2.93%,174.90,178.80,182.70,190.12,47.74,+33.53%,1,0,0.00,18.86%,Put,"10:05 ET"
"4,595.00",+3.04%,178.30,183.90,189.50,133.60,0.00,unch,0,0,0.00,19.20%,Put,01/20/22
"4,600.00",+3.16%,181.20,185.10,189.00,167.42,-1.02,-0.61%,202,28,7.21,18.60%,Put,"11:33 ET"
"4,605.00",+3.27%,187.20,189.45,191.70,172.32,60.61,+54.26%,2,0,0.00,18.75%,Put,"11:36 ET"
"4,610.00",+3.38%,186.80,191.15,195.50,187.01,69.12,+58.63%,2,0,0.00,17.16%,Put,"10:35 ET"
"4,615.00",+3.49%,189.20,194.10,199.00,109.70,0.00,unch,0,0,0.00,18.00%,Put,01/18/22
"4,620.00",+3.60%,196.00,201.10,206.20,175.12,3.93,+2.30%,5,0,0.00,18.81%,Put,"11:29 ET"
"4,625.00",+3.72%,201.60,203.65,205.70,164.32,0.00,unch,0,7,0.00,18.47%,Put,01/20/22
"4,630.00",+3.83%,204.30,206.60,208.90,187.23,-2.90,-1.53%,3,0,0.00,18.21%,Put,"11:07 ET"
"4,635.00",+3.94%,206.70,209.10,211.50,239.15,76.21,+46.77%,1,0,0.00,17.81%,Put,"10:22 ET"
"4,640.00",+4.05%,211.40,213.75,216.10,204.75,7.23,+3.66%,80,0,0.00,17.99%,Put,"11:40 ET"
"4,645.00",+4.16%,213.50,218.95,224.40,144.48,0.00,unch,0,0,0.00,18.32%,Put,01/19/22
"4,650.00",+4.28%,213.10,218.35,223.60,218.30,53.67,+32.60%,431,1,431.00,16.93%,Put,"12:01 ET"
"4,655.00",+4.39%,222.20,224.65,227.10,129.87,0.00,unch,0,0,0.00,17.60%,Put,01/20/22
"4,660.00",+4.50%,223.00,227.10,231.20,221.33,59.20,+36.51%,7,0,0.00,17.07%,Put,"10:35 ET"
"4,665.00",+4.61%,229.90,232.35,234.80,141.43,0.00,unch,0,0,0.00,17.41%,Put,01/20/22
"4,670.00",+4.73%,234.10,236.55,239.00,220.00,19.41,+9.68%,4,0,0.00,17.41%,Put,"03:09 ET"
"4,675.00",+4.84%,238.00,241.60,245.20,241.48,77.48,+47.24%,8,35,0.23,17.63%,Put,"10:44 ET"
"4,680.00",+4.95%,240.40,242.90,245.40,243.32,17.84,+7.91%,1,0,0.00,16.81%,Put,"09:52 ET"
"4,685.00",+5.06%,239.80,247.90,256.00,265.30,123.00,+86.44%,3,0,0.00,16.90%,Put,"10:15 ET"
"4,690.00",+5.17%,250.00,252.55,255.10,243.70,47.70,+24.34%,4,0,0.00,17.01%,Put,"11:40 ET"
"4,695.00",+5.29%,254.10,256.45,258.80,285.10,142.08,+99.34%,1,0,0.00,16.83%,Put,"10:21 ET"
"4,700.00",+5.40%,257.00,259.55,262.10,240.90,3.16,+1.33%,66,84,0.79,16.32%,Put,"10:58 ET"
"Downloaded from Barchart.com as of 01-21-2022 11:40am CST"
